Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Queenstown-Lakes,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,3,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,2511,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Māori descent,Maori Descent,1896,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Māori descent,No Maori Descent,23046,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Māori descent,Don't Know,504,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Māori descent,Not Elsewhere Included,2775,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),European,23163,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),Maori,1425,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),Pacific Peoples,225,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),Asian,1812,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),MELAA,705,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),Other,555,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,1746,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,5502,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,1374,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,441,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,309,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,270,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,261,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,375,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Place of birth,NZ born,63.420856808759434463697246730,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Place of birth,Overseas born,30.21154459445094078877431700,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Place of birth,Not Elsewhere Included,6.3675985967896247475284362700,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Queenstown-Lakes,Demographics,Births in year,Māori,42,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Queenstown-Lakes,Demographics,Births in year,All,423,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Queenstown-Lakes,Demographics,Deaths in year,Māori,3,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Queenstown-Lakes,Demographics,Deaths in year,All,123,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",4.654330798047451,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Queenstown-Lakes,Demographics,Percentage of city/district's population born overseas,UK and Ireland,12.907253944829153,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
