Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Invercargill,Demographics,Māori descent,Maori Descent,8907,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Māori descent,No Maori Descent,36258,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Māori descent,Don't Know,1788,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Māori descent,Not Elsewhere Included,4746,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),European,43749,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),Maori,7527,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),Pacific Peoples,1590,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),Asian,1512,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),MELAA,135,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),Other,1122,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,2016,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Invercargill,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,2133,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
