Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Christchurch,Demographics,Māori descent,Maori Descent,32883,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Māori descent,No Maori Descent,270429,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Māori descent,Don't Know,7515,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Māori descent,Not Elsewhere Included,30642,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),European,273303,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),Maori,27768,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),Pacific Peoples,10101,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),Asian,30717,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),MELAA,3384,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),Other,6276,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,15750,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Christchurch,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,31218,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
