Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Central Hawke's Bay,Demographics,Usual residence five years ago (2008 Census),No Fixed Abode Five Years Ago,0,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Usual residence five years ago (2008 Census),Not Elsewhere Included,1083,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Māori descent,Maori Descent,3009,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Māori descent,No Maori Descent,8253,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Māori descent,Don't Know,309,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Māori descent,Not Elsewhere Included,1149,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),European,10251,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),Maori,2706,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),Pacific Peoples,282,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),Asian,168,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),MELAA,42,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),Other,243,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Ethnic group (grouped totals),Not Elsewhere Included,537,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,0-9 Years,432,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,10-19 Years,207,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,20-29 Years,111,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,30-39 Years,126,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,40-49 Years,168,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,50 Years or More,165,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Years since arrival in NZ for those born overseas,Not Elsewhere Included,45,number,Number of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Place of birth,NZ born,85.28301886792452830188679245,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Place of birth,Overseas born,9.858490566037735849056603770,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Place of birth,Not Elsewhere Included,4.8584905660377358490566037700,percentage,% of people,,2013,Census Year,https://figure.nz/table/NUI0tdCOI51h0VTJ
Central Hawke's Bay,Demographics,Births in year,Māori,87,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Central Hawke's Bay,Demographics,Births in year,All,195,number,Number of live births,,2018,Year,https://figure.nz/table/zVvceVNz8RazM2XM
Central Hawke's Bay,Demographics,Deaths in year,Māori,15,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Central Hawke's Bay,Demographics,Deaths in year,All,123,number,Number of deaths,,2018,Year,https://figure.nz/table/3Oro8C1i2MOAnHSL
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,"Oceania and Antarctica, excluding New Zealand",1.5617253346554287,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,UK and Ireland,5.577590480912246,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,North-West Europe,0.7684680218145761,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,Southern and Eastern Europe,0.12394645513138325,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,North Africa and the Middle East,0,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,South-East Asia,0.7436787307882995,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,Southern and Central Asia,0.12394645513138325,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,Americas,0.5701536936043629,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,Sub-Saharan Africa,0.7684680218145761,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Percentage of city/district's population born overseas,At sea,0,percentage,% of city/district's population,,2013,Census Year,https://figure.nz/table/pAoznFmTWsqYmXNl
Central Hawke's Bay,Demographics,Marriages and civil unions in year,,54,number,Number of marriages and civil unions,,2018,Year,https://figure.nz/table/wN0BvvHmV3rUX6RM
Central Hawke's Bay,Demographics,Legally registered relationship status (Age 15+),Married,5010,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Central Hawke's Bay,Demographics,Legally registered relationship status (Age 15+),Separated/divorced or dissolved/widowed/surviving partner,1656,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Central Hawke's Bay,Demographics,Legally registered relationship status (Age 15+),Never married and never in a civil union,2577,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Central Hawke's Bay,Demographics,Legally registered relationship status (Age 15+),Not elsewhere included,834,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Central Hawke's Bay,Demographics,Current relationship partner status (Age 15+),Partnered,6372,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Central Hawke's Bay,Demographics,Current relationship partner status (Age 15+),Non-Partnered,3114,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Central Hawke's Bay,Demographics,Cigarette smoking behaviour (Age 15+),Regular Smoker,1785,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
